Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,154,1.000,637.000,154.000,0.000,0.000,3.600,2024-05-16T03:48:30
200,77973,0.981,619.380,420.580,0.000,0.000,1651.815,2024-05-16T04:16:02
400,143662,0.965,543.290,306.840,1.093,5.082,1468.165,2024-05-16T04:40:30
600,221685,0.946,583.010,441.090,1.890,12.554,1803.969,2024-05-16T05:10:34
800,305847,0.926,565.580,366.410,1.787,13.437,1952.710,2024-05-16T05:43:07
1000,391566,0.907,601.870,438.680,1.912,15.213,2001.101,2024-05-16T06:16:28
1200,466037,0.890,614.670,352.190,1.719,14.894,1756.585,2024-05-16T06:45:45
1400,535400,0.875,649.100,383.080,1.911,17.387,1644.367,2024-05-16T07:13:09
1600,622981,0.856,626.230,478.070,1.754,16.321,2074.067,2024-05-16T07:47:43
1800,681078,0.843,582.300,313.370,1.953,17.752,1379.288,2024-05-16T08:10:42
2000,734708,0.832,548.770,253.970,2.162,20.954,1279.025,2024-05-16T08:32:01
2200,803915,0.818,642.540,341.250,2.095,20.902,1649.218,2024-05-16T08:59:31
2400,872196,0.804,624.930,356.480,1.908,18.729,1621.774,2024-05-16T09:26:32
2600,937284,0.791,588.000,375.910,1.859,18.809,1558.330,2024-05-16T09:52:31
2800,1013158,0.776,604.600,357.100,1.673,16.715,1828.386,2024-05-16T10:22:59
3000,1064993,0.766,638.640,260.500,1.987,21.105,1252.351,2024-05-16T10:43:51
3200,1139211,0.752,625.170,292.110,1.853,19.659,1789.088,2024-05-16T11:13:41
3400,1196398,0.741,645.110,315.460,1.921,20.604,1408.754,2024-05-16T11:37:09
3600,1255707,0.731,518.750,310.080,2.077,22.576,1517.825,2024-05-16T12:02:27
3800,1295600,0.723,688.240,198.260,2.215,24.464,1003.931,2024-05-16T12:19:11
4000,1345073,0.714,623.400,282.480,2.451,27.663,1245.590,2024-05-16T12:39:57
4200,1393516,0.706,634.940,224.960,2.328,27.487,1176.926,2024-05-16T12:59:34
4400,1448765,0.696,721.300,276.940,2.470,27.662,1361.632,2024-05-16T13:22:15
4600,1490576,0.689,742.030,234.650,2.712,30.864,1029.724,2024-05-16T13:39:25
4800,1534598,0.681,700.830,227.960,3.008,33.698,1079.357,2024-05-16T13:57:24
5000,146,0.674,631.000,146.000,0.000,0.000,3.929,2024-05-16T14:22:04
5200,53314,0.665,661.250,241.730,0.000,0.000,1221.219,2024-05-16T14:42:25
5400,108026,0.656,725.460,298.600,0.975,10.744,1267.616,2024-05-16T15:03:33
5600,159970,0.647,653.900,253.580,2.241,27.124,1276.296,2024-05-16T15:24:49
5800,206615,0.640,665.830,237.670,2.315,28.163,1153.341,2024-05-16T15:44:03
6000,245676,0.634,701.040,203.480,2.484,30.987,966.866,2024-05-16T16:00:10
6200,285605,0.627,685.890,199.510,2.774,34.375,987.617,2024-05-16T16:16:37
6400,326743,0.621,720.140,198.240,2.904,36.480,1007.136,2024-05-16T16:33:24
6600,364439,0.615,714.840,190.020,2.953,37.490,921.955,2024-05-16T16:48:46
6800,403527,0.609,681.430,208.490,3.053,37.989,956.886,2024-05-16T17:04:43
7000,450913,0.602,700.960,228.960,2.964,36.784,1169.688,2024-05-16T17:24:13
7200,500173,0.594,714.200,218.140,2.737,34.288,1211.688,2024-05-16T17:44:25
7400,540191,0.589,702.360,204.170,2.915,35.978,984.199,2024-05-16T18:00:49
7600,578752,0.583,722.030,179.780,2.933,37.327,955.297,2024-05-16T18:16:44
7800,616717,0.577,829.950,190.610,3.032,40.520,943.341,2024-05-16T18:32:27
8000,651525,0.572,748.610,156.570,3.271,43.646,863.927,2024-05-16T18:46:51
8200,687447,0.567,729.810,183.500,3.511,46.131,892.460,2024-05-16T19:01:44
8400,722216,0.562,790.970,173.020,3.622,47.740,866.237,2024-05-16T19:16:10
8600,757912,0.557,817.910,176.670,3.563,48.652,889.524,2024-05-16T19:31:00
8800,792213,0.553,805.730,180.430,3.581,49.379,862.068,2024-05-16T19:45:22
9000,823889,0.548,737.040,157.190,3.620,50.172,810.893,2024-05-16T19:58:52
9200,859021,0.543,760.770,162.410,3.636,51.468,874.194,2024-05-16T20:13:27
9400,890632,0.539,707.500,161.890,3.942,51.814,785.457,2024-05-16T20:26:32
9600,922045,0.535,812.170,154.830,3.893,51.446,782.314,2024-05-16T20:39:34
9800,949430,0.531,774.910,133.780,4.059,54.296,681.313,2024-05-16T20:50:56
10000,40,0.527,235.000,40.000,0.000,0.000,1.109,2024-05-16T21:14:22
10200,31422,0.523,801.170,148.510,0.000,0.000,741.002,2024-05-16T21:26:43
10400,64452,0.519,856.510,166.980,0.000,0.000,780.176,2024-05-16T21:39:44
10600,94305,0.515,818.440,151.300,0.000,0.000,702.025,2024-05-16T21:51:26
10800,124599,0.511,784.890,148.240,4.567,57.125,753.998,2024-05-16T22:04:00
11000,153536,0.507,791.610,146.060,4.570,58.655,735.796,2024-05-16T22:16:15
11200,183483,0.504,826.340,146.390,4.447,59.667,763.962,2024-05-16T22:28:59
11400,213261,0.500,774.390,141.500,4.468,61.021,759.913,2024-05-16T22:41:39
11600,245137,0.496,855.700,143.790,4.426,59.720,812.347,2024-05-16T22:55:12
11800,274179,0.492,800.040,142.110,4.439,61.048,740.557,2024-05-16T23:07:32
12000,302938,0.489,839.260,155.830,4.640,62.014,734.295,2024-05-16T23:19:47
12200,333970,0.485,829.300,158.970,4.606,62.994,793.678,2024-05-16T23:33:00
12400,365085,0.481,960.020,169.490,4.523,62.812,798.696,2024-05-16T23:46:19
12600,392699,0.478,763.680,137.870,4.462,63.144,709.379,2024-05-16T23:58:08
12800,422469,0.474,798.940,144.270,4.431,63.277,763.951,2024-05-17T00:10:52
13000,452305,0.471,887.630,162.170,4.547,63.991,758.790,2024-05-17T00:23:31
13200,482370,0.467,863.510,148.090,4.397,62.975,764.221,2024-05-17T00:36:15
13400,512191,0.464,836.170,144.380,4.420,63.820,756.236,2024-05-17T00:48:51
13600,541193,0.461,811.530,145.590,4.598,64.181,735.630,2024-05-17T01:01:07
13800,570783,0.457,930.880,158.740,4.674,66.118,754.788,2024-05-17T01:13:42
14000,602499,0.454,964.270,170.440,4.671,66.581,809.259,2024-05-17T01:27:11
14200,633375,0.450,968.160,156.560,4.672,66.396,788.362,2024-05-17T01:40:20
14400,664781,0.447,860.140,158.550,4.725,65.776,804.735,2024-05-17T01:53:44
14600,694058,0.443,803.230,142.830,4.658,64.922,750.023,2024-05-17T02:06:14
14800,723008,0.440,902.920,148.690,4.692,65.183,742.704,2024-05-17T02:18:37
15000,178,0.437,1338.000,178.000,0.000,0.000,5.385,2024-05-17T06:55:19
15200,33439,0.434,963.190,166.090,0.000,0.000,792.393,2024-05-17T07:08:32
15400,66562,0.430,927.180,159.570,0.000,0.000,786.533,2024-05-17T07:21:38
15600,99393,0.426,907.010,159.770,0.000,0.000,787.376,2024-05-17T07:34:46
15800,133519,0.423,925.480,167.320,4.191,61.470,870.386,2024-05-17T07:49:16
16000,161856,0.420,917.110,158.450,4.198,62.273,725.005,2024-05-17T08:01:21
16200,192564,0.417,929.320,148.230,4.384,64.201,789.442,2024-05-17T08:14:30
16400,224420,0.413,933.240,157.840,4.686,65.922,814.566,2024-05-17T08:28:05
16600,255391,0.410,928.260,152.730,4.903,67.018,791.430,2024-05-17T08:41:16
16800,282806,0.407,820.320,128.150,4.802,67.301,701.217,2024-05-17T08:52:58
17000,312675,0.404,906.970,145.580,4.856,67.612,769.794,2024-05-17T09:05:47
17200,339960,0.402,840.650,139.680,4.785,68.950,704.765,2024-05-17T09:17:32
17400,367427,0.399,892.180,143.360,4.924,70.391,716.816,2024-05-17T09:29:29
17600,394823,0.396,898.570,139.620,5.009,71.237,711.546,2024-05-17T09:41:21
17800,427007,0.393,890.390,162.860,4.978,67.974,828.199,2024-05-17T09:55:09
18000,458630,0.390,931.620,164.460,4.775,65.705,816.128,2024-05-17T10:08:45
18200,493196,0.386,940.490,177.260,4.639,63.320,891.872,2024-05-17T10:23:37
18400,525650,0.383,835.790,157.680,4.620,62.072,840.229,2024-05-17T10:37:37
18600,556889,0.380,865.370,161.650,4.405,61.560,808.552,2024-05-17T10:51:06
18800,590131,0.377,943.080,161.670,4.481,62.480,862.423,2024-05-17T11:05:28
19000,623173,0.374,966.630,157.790,4.090,62.947,856.788,2024-05-17T11:19:45
19200,656036,0.371,1014.510,161.390,4.313,63.621,852.799,2024-05-17T11:33:58
19400,689050,0.368,920.570,157.410,4.251,63.955,854.469,2024-05-17T11:48:12
19600,721105,0.365,1013.800,165.680,4.367,65.450,837.489,2024-05-17T12:02:10
19800,753666,0.362,1039.310,160.300,4.445,66.315,873.267,2024-05-17T12:16:43
20000,157,0.360,1038.000,157.000,0.000,0.000,4.409,2024-05-17T12:37:48
20200,31431,0.357,1026.940,152.620,0.000,0.000,760.812,2024-05-17T12:50:29
20400,61478,0.354,1013.690,149.130,0.000,0.000,727.557,2024-05-17T13:02:37
20600,93188,0.351,1000.910,150.100,0.000,0.000,765.799,2024-05-17T13:15:22
20800,125558,0.349,980.490,161.020,4.747,70.758,819.163,2024-05-17T13:29:02
21000,153671,0.346,909.770,144.200,4.648,69.768,724.685,2024-05-17T13:41:06
21200,184007,0.344,935.400,143.620,4.780,68.689,780.000,2024-05-17T13:54:06
21400,216116,0.341,1090.290,178.370,4.711,69.505,824.132,2024-05-17T14:07:50
21600,245087,0.338,874.350,156.800,4.613,69.804,754.659,2024-05-17T14:20:25
21800,276123,0.336,983.780,162.230,4.535,69.497,820.199,2024-05-17T14:34:05
22000,308405,0.333,1070.750,165.190,4.490,68.887,835.758,2024-05-17T14:48:01
22200,342209,0.330,964.330,160.700,4.510,68.761,870.065,2024-05-17T15:02:31
22400,373070,0.328,924.990,152.040,4.617,68.823,792.870,2024-05-17T15:15:44
22600,405622,0.325,978.010,169.140,4.559,68.115,838.584,2024-05-17T15:29:43
22800,435663,0.323,994.480,146.820,4.644,68.963,773.152,2024-05-17T15:42:36
23000,466709,0.320,899.720,145.970,4.471,70.024,802.163,2024-05-17T15:55:58
23200,499733,0.317,1064.700,166.620,4.408,70.074,854.339,2024-05-17T16:10:12
23400,531631,0.315,1015.800,159.790,4.484,69.703,828.819,2024-05-17T16:24:01
23600,563772,0.312,1184.890,183.080,4.546,69.744,831.482,2024-05-17T16:37:52
23800,596942,0.310,1050.150,162.610,4.599,69.164,857.575,2024-05-17T16:52:10
24000,630847,0.307,1054.850,163.200,4.599,69.839,875.876,2024-05-17T17:06:46
24200,663333,0.305,1113.140,166.910,4.694,69.898,842.489,2024-05-17T17:20:48
24400,696733,0.302,1103.540,172.570,4.637,70.459,864.847,2024-05-17T17:35:13
24600,727979,0.300,1033.340,158.320,4.647,71.259,811.155,2024-05-17T17:48:44
24800,758439,0.298,1069.190,154.110,4.505,72.970,791.665,2024-05-17T18:01:56
25000,787004,0.295,1024.830,143.680,4.586,74.299,742.683,2024-05-17T18:14:19
25200,824494,0.293,1128.940,194.840,4.410,72.802,977.127,2024-05-17T18:30:36
25400,858029,0.290,1025.740,147.450,4.511,70.923,873.829,2024-05-17T18:45:10
25600,890165,0.288,1087.220,164.110,4.461,71.509,836.945,2024-05-17T18:59:07
25800,924501,0.285,1071.370,172.290,4.533,72.218,890.230,2024-05-17T19:13:57
26000,961524,0.283,1180.460,174.560,4.495,71.383,958.712,2024-05-17T19:29:56
26200,993681,0.281,1112.060,166.820,4.573,71.408,835.415,2024-05-17T19:43:51
26400,1024850,0.278,1116.890,173.060,4.619,73.598,809.554,2024-05-17T19:57:21
26600,1060382,0.276,1025.410,167.540,4.527,72.419,920.237,2024-05-17T20:12:41
26800,1097008,0.273,1105.700,186.420,4.655,68.114,949.967,2024-05-17T20:28:31
27000,1129664,0.271,1047.890,153.040,4.092,63.504,848.018,2024-05-17T20:42:39
27200,1160734,0.269,1116.110,159.740,4.199,67.988,806.042,2024-05-17T20:56:05
27400,1192620,0.267,1186.110,165.070,4.469,72.527,826.707,2024-05-17T21:09:52
27600,1225248,0.265,1011.600,157.930,4.751,76.595,846.468,2024-05-17T21:23:58
27800,1255720,0.263,1052.310,159.060,4.683,75.517,791.925,2024-05-17T21:37:10
28000,1285840,0.261,1108.580,143.700,4.800,75.187,784.309,2024-05-17T21:50:14
28200,1321122,0.259,1177.300,199.870,4.594,75.357,916.236,2024-05-17T22:05:31
28400,1355473,0.256,1090.260,171.700,4.561,73.494,894.831,2024-05-17T22:20:25
28600,1392250,0.254,1154.960,180.830,4.438,70.187,958.627,2024-05-17T22:36:24
28800,1426309,0.252,1130.300,170.910,4.151,68.908,887.885,2024-05-17T22:51:12
29000,1461384,0.250,1227.980,187.520,4.155,69.531,915.311,2024-05-17T23:06:27
29200,1499073,0.247,1271.240,184.540,4.262,70.725,1015.929,2024-05-17T23:23:23
29400,1532413,0.245,1113.750,167.010,4.365,72.160,889.624,2024-05-17T23:38:13
29600,1568230,0.243,1123.000,165.780,4.297,72.085,951.703,2024-05-17T23:54:04
29800,1600908,0.241,1229.710,168.960,4.415,73.519,867.313,2024-05-18T00:08:32
30000,182,0.239,1705.000,182.000,0.000,0.000,5.804,2024-05-18T11:38:10
30200,35504,0.237,1260.420,171.770,0.000,0.000,880.366,2024-05-18T11:52:50
30400,72028,0.235,1137.260,177.230,0.000,0.000,914.612,2024-05-18T12:08:05
30600,104197,0.233,1202.490,166.050,1.051,17.188,814.057,2024-05-18T12:21:39
30800,141205,0.231,1268.680,188.400,4.182,72.553,988.456,2024-05-18T12:38:07
31000,179125,0.229,1161.900,176.310,4.387,72.379,1016.974,2024-05-18T12:55:04
31200,212442,0.227,1201.270,170.770,4.175,71.409,897.050,2024-05-18T13:10:01
31400,249079,0.225,1209.630,190.110,3.877,72.937,985.879,2024-05-18T13:26:27
31600,281143,0.223,1204.640,167.750,3.700,74.997,872.558,2024-05-18T13:41:00
31800,316944,0.221,1275.360,187.950,3.816,75.066,971.707,2024-05-18T13:57:11
32000,351542,0.219,1070.540,162.850,4.062,74.801,935.995,2024-05-18T14:12:47
32200,383877,0.217,1132.930,155.260,4.081,73.389,873.583,2024-05-18T14:27:21
32400,416099,0.216,1128.650,156.100,3.846,75.469,870.340,2024-05-18T14:41:51
32600,448800,0.214,1154.040,167.160,3.950,75.982,884.696,2024-05-18T14:56:36
32800,484351,0.212,1207.460,178.230,4.008,77.123,960.815,2024-05-18T15:12:37
33000,518516,0.210,1146.460,164.800,4.191,76.190,922.710,2024-05-18T15:28:00
33200,554476,0.208,1195.310,179.740,4.091,74.761,973.311,2024-05-18T15:44:13
33400,590897,0.206,1348.680,185.990,3.822,71.835,1005.826,2024-05-18T16:00:59
33600,627977,0.205,1298.140,202.990,3.824,72.108,1006.659,2024-05-18T16:17:45
33800,666055,0.203,1339.400,196.900,3.909,73.090,1035.261,2024-05-18T16:35:01
34000,705594,0.201,1284.180,201.910,3.971,73.231,1079.751,2024-05-18T16:53:00
34200,740112,0.199,1129.420,155.420,3.918,73.872,947.773,2024-05-18T17:08:48
34400,775060,0.197,1291.190,179.230,3.975,75.596,961.629,2024-05-18T17:24:50
34600,812811,0.195,1440.440,190.720,3.981,76.994,1026.918,2024-05-18T17:41:57
34800,849470,0.194,1387.500,180.300,4.044,79.711,999.217,2024-05-18T17:58:36
35000,888947,0.192,1513.720,204.910,4.115,79.033,1082.124,2024-05-18T18:16:38
35200,926165,0.190,1329.240,179.930,4.012,77.900,1013.878,2024-05-18T18:33:32
35400,963662,0.188,1474.220,195.020,3.759,75.980,1022.430,2024-05-18T18:50:34
35600,997626,0.186,1301.890,171.700,3.744,78.349,927.525,2024-05-18T19:06:02
35800,1032412,0.185,1283.720,174.050,3.800,80.246,948.602,2024-05-18T19:21:51
36000,1065436,0.183,1288.140,171.740,3.805,80.664,901.827,2024-05-18T19:36:52
36200,1104113,0.182,1351.140,184.860,3.731,79.524,1053.903,2024-05-18T19:54:26
36400,1142154,0.180,1393.060,182.560,3.819,79.688,1037.169,2024-05-18T20:11:43
36600,1177432,0.178,1226.550,180.980,3.917,77.812,959.649,2024-05-18T20:27:43
36800,1211447,0.177,1301.150,177.890,4.112,77.991,932.985,2024-05-18T20:43:16
37000,1248257,0.175,1284.600,186.430,4.054,77.843,1014.939,2024-05-18T21:00:11
37200,1287087,0.173,1331.840,209.280,4.053,78.079,1046.666,2024-05-18T21:17:38
37400,1323505,0.172,1344.130,194.550,4.060,74.447,979.270,2024-05-18T21:33:57
37600,1361759,0.170,1212.530,177.760,3.631,70.397,1029.981,2024-05-18T21:51:07
37800,1399004,0.169,1315.620,206.600,3.779,70.599,1003.502,2024-05-18T22:07:50
38000,1433996,0.167,1251.540,175.460,3.784,71.538,944.475,2024-05-18T22:23:35
38200,1474995,0.166,1306.710,196.940,3.750,71.372,1100.152,2024-05-18T22:41:55
38400,1513030,0.164,1370.460,203.740,3.684,69.774,1022.383,2024-05-18T22:58:57
38600,1552989,0.162,1482.530,225.190,3.609,70.549,1071.646,2024-05-18T23:16:49
38800,1591184,0.161,1425.590,187.500,3.652,73.189,1026.802,2024-05-18T23:33:56
39000,1629470,0.159,1376.650,201.270,3.532,75.271,1030.739,2024-05-18T23:51:07
39200,1668168,0.158,1283.960,164.480,3.628,76.411,1039.919,2024-05-19T00:08:27
39400,1707074,0.156,1379.400,191.490,3.774,76.365,1045.305,2024-05-19T00:25:52
39600,1740927,0.155,1359.950,179.120,3.857,77.784,911.476,2024-05-19T00:41:03
39800,1779244,0.153,1396.220,185.270,3.675,79.161,1030.541,2024-05-19T00:58:14
40000,311,0.152,3059.000,311.000,0.000,0.000,8.831,2024-05-19T02:07:04
40200,36427,0.151,1306.870,169.930,0.000,0.000,913.197,2024-05-19T02:22:18
40400,73632,0.149,1436.900,184.360,0.000,0.000,940.990,2024-05-19T02:37:59
40600,110390,0.148,1377.700,185.050,2.060,41.664,944.399,2024-05-19T02:53:43
40800,151616,0.147,1389.310,196.610,3.788,77.643,1101.660,2024-05-19T03:12:05
41000,186987,0.145,1313.230,170.410,3.527,76.858,945.898,2024-05-19T03:27:50
41200,222761,0.144,1338.510,177.080,3.464,78.305,956.865,2024-05-19T03:43:47
41400,258015,0.143,1380.580,177.500,3.496,80.161,942.438,2024-05-19T03:59:30
41600,296986,0.141,1441.120,213.170,3.564,79.352,1042.119,2024-05-19T04:16:52
41800,341808,0.140,1593.550,236.730,3.706,75.557,1201.100,2024-05-19T04:36:53
42000,382978,0.138,1560.980,199.470,3.418,72.628,1100.617,2024-05-19T04:55:14
42200,427857,0.137,1496.060,213.900,3.278,73.481,1203.494,2024-05-19T05:15:17
42400,464663,0.136,1444.560,183.500,3.554,77.387,986.329,2024-05-19T05:31:43
42600,505018,0.134,1519.960,200.460,3.557,79.319,1081.699,2024-05-19T05:49:45
42800,542369,0.133,1256.300,182.930,3.563,80.843,998.694,2024-05-19T06:06:24
43000,580504,0.132,1668.440,204.730,3.525,81.088,1022.623,2024-05-19T06:23:26
43200,623389,0.130,1441.330,200.570,3.507,80.205,1147.942,2024-05-19T06:42:34
43400,659974,0.129,1344.390,206.040,3.494,81.332,981.885,2024-05-19T06:58:56
43600,698352,0.128,1442.800,186.940,3.417,79.193,1027.933,2024-05-19T07:16:04
43800,735643,0.127,1251.570,160.640,3.405,78.808,1001.163,2024-05-19T07:32:45
44000,767614,0.126,1317.920,160.070,3.380,81.397,858.911,2024-05-19T07:47:04
44200,807099,0.124,1431.600,191.850,3.421,80.624,1063.749,2024-05-19T08:04:48
44400,850816,0.123,1383.270,262.170,3.468,77.956,1174.343,2024-05-19T08:24:22
44600,890117,0.122,1519.070,200.740,3.451,74.021,1058.472,2024-05-19T08:42:01
44800,934351,0.121,1591.320,222.410,3.407,74.354,1190.905,2024-05-19T09:01:52
45000,67,0.119,607.000,67.000,0.000,0.000,2.636,2024-05-19T11:36:15
45200,37905,0.118,1480.880,182.300,0.000,0.000,968.430,2024-05-19T11:52:24
45400,74795,0.117,1372.250,167.270,0.000,0.000,945.244,2024-05-19T12:08:09
45600,111626,0.116,1528.230,186.940,2.360,55.587,968.114,2024-05-19T12:24:17
45800,153384,0.115,1483.630,215.790,3.373,80.426,1145.951,2024-05-19T12:43:23
46000,191912,0.114,1372.020,192.000,3.377,76.525,1060.902,2024-05-19T13:01:04
46200,228489,0.113,1475.650,190.750,3.408,76.262,1001.926,2024-05-19T13:17:46
46400,263475,0.112,1345.450,169.920,3.196,78.351,956.622,2024-05-19T13:33:43
46600,300103,0.111,1481.990,182.510,3.241,80.867,1003.160,2024-05-19T13:50:26
46800,336297,0.110,1426.150,178.150,3.439,81.846,981.644,2024-05-19T14:06:47
47000,374076,0.109,1605.670,199.990,3.407,83.837,1025.336,2024-05-19T14:23:53
47200,410637,0.108,1386.010,177.880,3.451,83.138,992.753,2024-05-19T14:40:25
47400,449344,0.107,1443.310,196.990,3.466,83.356,1051.218,2024-05-19T14:57:57
47600,489645,0.106,1497.270,191.480,3.342,80.208,1094.248,2024-05-19T15:16:11
47800,524603,0.105,1424.990,169.530,3.265,81.576,944.952,2024-05-19T15:31:56
48000,561803,0.104,1568.300,189.560,3.266,83.182,1008.931,2024-05-19T15:48:45
48200,598133,0.103,1472.300,180.660,3.198,84.351,986.588,2024-05-19T16:05:11
48400,633893,0.102,1421.800,202.900,3.143,85.789,971.293,2024-05-19T16:21:23
48600,674319,0.101,1519.440,202.920,3.307,80.982,1097.657,2024-05-19T16:39:40
48800,715566,0.100,1357.060,192.000,3.162,76.323,1120.076,2024-05-19T16:58:20
49000,754343,0.100,1457.190,193.700,3.180,77.612,1052.992,2024-05-19T17:15:53
49200,795321,0.100,1664.490,229.910,3.158,78.201,1115.494,2024-05-19T17:34:29
49400,829573,0.100,1370.880,175.950,3.112,81.788,931.688,2024-05-19T17:50:01
49600,873714,0.100,1612.860,214.000,3.058,79.624,1193.191,2024-05-19T18:09:54
49800,917002,0.100,1643.700,225.130,3.108,78.752,1174.371,2024-05-19T18:29:28
